Date,PM10,PM25
2018040100,45.93333333,23.81666667
2018040101,51.61666667,26.48333333
2018040102,50.66666667,25.48333333
2018040103,50.68333333,25.61666667
2018040104,51.66666667,26.73333333
2018040105,64.93333333,35.01666667
2018040106,56.1,30.53333333
2018040107,54.88333333,29.2
2018040108,59.51666667,30.98333333
2018040109,63.68333333,31.45
2018040110,68.06666667,30.56666667
2018040111,61.23333333,23.91666667
2018040112,53.43333333,22.36666667
2018040113,59.05,28.4
2018040114,61.63333333,34.11666667
2018040115,74.78333333,43.15
2018040116,80.03333333,47.3
2018040117,80.5,48.93333333
2018040118,81.93333333,50.86666667
2018040119,74.91666667,45.78333333
2018040120,80.78333333,45.06666667
2018040121,77.18333333,40.86666667
2018040122,77.98333333,40.53333333
2018040123,79.86666667,40.6
2018040200,74.28333333,35.98333333
2018040201,68.31666667,31.83333333
2018040202,69.53333333,31.86666667
2018040203,70.35,30.26666667
2018040204,71.31666667,30.81666667
2018040205,67.85,31
2018040206,60.6,28.8
2018040207,61.46666667,31.08333333
2018040208,58.95,29.31666667
2018040209,57.61666667,26.91666667
2018040210,57.45,26.25
2018040211,57.95,27
2018040212,76.5,37.15
2018040213,75.18333333,33.81666667
2018040214,73.45,31.8
2018040215,76.01666667,31.96666667
2018040216,70.05,27.41666667
2018040217,70.86666667,21.41666667
2018040218,68.73333333,23.13333333
2018040219,57.65,23.15
2018040220,55.8,19.41666667
2018040221,55.86666667,17.78333333
2018040222,53.58333333,16.15
2018040223,51.06666667,18.15
2018040300,49.71666667,18.5
2018040301,49.33333333,17.08333333
2018040302,52.33333333,17.16666667
2018040303,51.28333333,17.86666667
2018040304,52.26666667,18.41666667
2018040305,51.31666667,17.58333333
2018040306,48.8,16.73333333
2018040307,49.13333333,15.6
2018040308,50.05,15.48333333
2018040309,61.38333333,27.1
2018040310,75.51666667,36.88333333
2018040311,64.33333333,17.85
2018040312,77.96666667,22.26666667
2018040313,76.23333333,21.53333333
2018040314,85.81666667,21.38333333
2018040315,79.31666667,21
2018040316,83.81666667,23.2
2018040317,84.38333333,22.8
2018040318,73.06666667,20.03333333
2018040319,61.75,16.03333333
2018040320,62.56666667,16.38333333
2018040321,58.4,15.33333333
2018040322,65.9,21.41666667
2018040323,68.53333333,26.61666667
2018040400,70.48333333,31.48333333
2018040401,72.7,36.58333333
2018040402,43.1,24.08333333
2018040403,33.01666667,18.75
2018040404,20.61666667,12.73333333
2018040405,10.9,8.433333333
2018040406,6.55,4.111111111
2018040407,11.53333333,6.683333333
2018040408,8.533333333,4.75
2018040409,5.483333333,3.116666667
2018040410,4,2.666666667
2018040411,7.916666667,2.266666667
2018040412,12.13333333,4.533333333
2018040413,7.15,4
2018040414,9.683333333,3.433333333
2018040415,11.91666667,3.6
2018040416,10.03333333,3.433333333
2018040417,13.11666667,7.316666667
2018040418,12,7.133333333
2018040419,16.68333333,12.31666667
2018040420,13.45,9.216666667
2018040421,13.5,7.433333333
2018040422,14.16666667,6.95
2018040423,10.41666667,4.033333333
2018040500,8.883333333,2.7
2018040501,9.816666667,4.7
2018040502,8.033333333,4.466666667
2018040503,8.733333333,5.516666667
2018040504,8.85,5.966666667
2018040505,9.75,6.916666667
2018040506,8.616666667,8.616666667
2018040507,8.15,7.283333333
2018040508,8.533333333,4.783333333
2018040509,10.65,3.133333333
2018040510,9.333333333,2.7
2018040511,8.083333333,2.216666667
2018040512,10.91666667,3.183333333
2018040513,6.033333333,2.35
