Date,PM10,PM25
2018040100,40.6,21.03333333
2018040101,41.71666667,21.31666667
2018040102,39.36666667,19.5
2018040103,42.13333333,21.1
2018040104,42.9,22.11666667
2018040105,44.41666667,23.91666667
2018040106,47.51666667,25.9
2018040107,41.51666667,21.95
2018040108,52.33333333,27.1
2018040109,65.91666667,32.73333333
2018040110,63.33333333,28.18333333
2018040111,61.15,23.8
2018040112,54.41666667,22.85
2018040113,61.76666667,29.5
2018040114,59.75,33.2
2018040115,73.98333333,42.71666667
2018040116,79.38333333,46.96666667
2018040117,83.4,50.65
2018040118,84.25,52.36666667
2018040119,79.38333333,48.65
2018040120,83.48333333,46.66666667
2018040121,101.2166667,53.81666667
2018040122,80.7,41.95
2018040123,88.88333333,45.06666667
2018040200,96.35,46.75
2018040201,68.3,31.86666667
2018040202,69.08333333,31.63333333
2018040203,74.45,31.93333333
2018040204,67.45,29.28333333
2018040205,72.93333333,33.38333333
2018040206,64.01666667,30.63333333
2018040207,62.51666667,31.63333333
2018040208,60.35,29.95
2018040209,63.35,29.73333333
2018040210,58.06666667,26.33333333
2018040211,60.68333333,28.25
2018040212,71.1,34.36666667
2018040213,69.43333333,31.23333333
2018040214,66.31666667,28.63333333
2018040215,65.78333333,27.63333333
2018040216,66.46666667,25.85
2018040217,73,22
2018040218,69.76666667,23.58333333
2018040219,61.36666667,24.88333333
2018040220,58.26666667,20.21666667
2018040221,55.95,17.86666667
2018040222,48.08333333,14.4
2018040223,45,15.91666667
2018040300,45.76666667,16.98333333
2018040301,48.56666667,16.75
2018040302,48.91666667,16.03333333
2018040303,50.23333333,17.48333333
2018040304,49.58333333,17.5
2018040305,50.86666667,17.45
2018040306,48.5,16.66666667
2018040307,47.23333333,14.96666667
2018040308,46.66666667,14.53333333
2018040309,59.91666667,27.13333333
2018040310,73.2,35.95
2018040311,67.83333333,18.86666667
2018040312,80.95,23.06666667
2018040313,82.7,23.5
2018040314,83.03333333,20.63333333
2018040315,82.76666667,21.85
2018040316,87.31666667,24.15
2018040317,84.06666667,22.76666667
2018040318,76.88333333,20.98333333
2018040319,72.98333333,18.93333333
2018040320,67.38333333,17.6
2018040321,67.08333333,17.71666667
2018040322,72.55,23.58333333
2018040323,75.06666667,29.16666667
2018040400,72.13559322,32.25423729
2018040401,75.46666667,38.05
2018040402,46.25,25.85
2018040403,33.13333333,18.81666667
2018040404,21.58333333,13.61666667
2018040405,9.216666667,7.416666667
2018040406,5.033333333,3.233333333
2018040407,7.75,4.416666667
2018040408,5.866666667,2.7
2018040409,11.88333333,7.9
2018040410,4.516666667,3.133333333
2018040411,12.45,3.05
2018040412,19.31666667,5.566666667
2018040413,35.43333333,17.06666667
2018040414,30.48333333,9.866666667
2018040415,24.16666667,7.1
2018040416,21.45,7.95
2018040417,17.16666667,10.11666667
2018040418,12.81666667,7.116666667
2018040419,12.63333333,8.983333333
2018040420,13.15,9.116666667
2018040421,11.25,6.4
2018040422,11.73333333,6.016666667
2018040423,9.3,3.8
2018040500,9.1,2.55
2018040501,6.633333333,3.266666667
2018040502,7.283333333,3.933333333
2018040503,8.8,5.716666667
2018040504,10.33333333,6.9
2018040505,9.3,7.233333333
