Date,PM10,PM25
2018040100,37.33333333,19.01666667
2018040101,41.8,20.73333333
2018040102,44.46666667,21.91666667
2018040103,51.23333333,25.4
2018040104,50.13333333,25.06666667
2018040105,44.45,23.53333333
2018040106,56.25,31.03333333
2018040107,62.25,32.71666667
2018040108,62.91666667,31.98333333
2018040109,57.8,29.11666667
2018040110,62.5,26.96666667
2018040111,61.13333333,23.66666667
2018040112,53,20.06666667
2018040113,45.78333333,20.48333333
2018040114,53.55,27.26666667
2018040115,45.78333333,25.56666667
2018040116,52.28333333,31.4
2018040117,67.96666667,41.86666667
2018040118,66.1,41.35
2018040119,65.53333333,39.95
2018040120,67.71666667,37.76666667
2018040121,66.63333333,34.1
2018040122,65.66666667,31.1
2018040123,67.8,32.78333333
2018040200,61.03333333,29.9
2018040201,56.81666667,26.43333333
2018040202,55.11666667,23.81666667
2018040203,53.76666667,22.3
2018040204,60.45,26.28333333
2018040205,56.11666667,23.41666667
2018040206,60.03333333,25.66666667
2018040207,59.51666667,27.76666667
2018040208,55.83333333,26.86666667
2018040209,52.28333333,23.76666667
2018040210,49.51666667,22.25
2018040211,56.88333333,24.4
2018040212,59.43333333,25
2018040213,60.03333333,24.41666667
2018040214,57.86666667,22.3
2018040215,59.05,22.93333333
2018040216,59.13333333,23.63333333
2018040217,61.75,26.9
2018040218,62.56666667,24.95
2018040219,52,17.25
2018040220,51.35,17.78333333
2018040221,45.65,16.35
2018040222,45.8,16.9
2018040223,38.41666667,12.15
2018040300,41.28333333,13.18333333
2018040301,38.58333333,11.51666667
2018040302,41.4,10.8
2018040303,36.06666667,9.4
2018040304,38.86666667,11.23333333
2018040305,42.26666667,12.5
2018040306,39.21666667,12.03333333
2018040307,37.38333333,11.13333333
2018040308,38.05,11.38333333
2018040309,55.03333333,25.01666667
2018040310,71.45,36.4
2018040311,54.58333333,14.56666667
2018040312,70.18333333,18.73333333
2018040313,67.63333333,17.45
2018040314,71.78333333,17.48333333
2018040315,72.5,18.26666667
2018040316,71.46666667,16.91666667
2018040317,73.65,16.78333333
2018040318,57.73333333,11.71666667
2018040319,57.11666667,12.81666667
2018040320,57.1,13.65
2018040321,68.93333333,19.45
2018040322,87.66666667,30.81666667
2018040323,72.58333333,35.03333333
2018040400,70.86666667,39.45
2018040401,70.13333333,34.2
2018040402,47.91666667,25.33333333
2018040403,32.78333333,21.03333333
2018040404,17.97167353,12.64067215
2018040405,11.28333333,6.6
2018040406,8.366666667,5.092592593
2018040407,10.56666667,5.783333333
2018040408,8.2,4.8
2018040409,6.616666667,3.483333333
2018040410,7.983333333,3.783333333
2018040411,10.58333333,6.05
2018040412,8.933333333,3.983333333
2018040413,10.05,6.216666667
2018040414,9.416666667,5.833333333
2018040415,12.8,9.7
2018040416,15.35,11.03333333
2018040417,11.6,3.733333333
2018040418,13.73333333,6.45
2018040419,14.96666667,7.866666667
2018040420,13.55,9.416666667
2018040421,8.55,6.9
2018040422,12.66666667,10.85
2018040423,8.966666667,8.966666667
2018040500,9.25,8.316666667
2018040501,7.766666667,4
2018040502,7.516666667,4.283333333
2018040503,8.2,5.033333333
2018040504,5.95,4.316666667
2018040505,22.46666667,22.46666667
2018040506,19.33333333,19.33333333
2018040507,11.4,11.4
2018040508,13.08333333,11.75
2018040509,14.03333333,8.65
2018040510,15.98333333,7.55
2018040511,14.16666667,7.566666667
2018040512,13.83333333,13.83333333
2018040513,15.48333333,13.15
2018040514,14.56666667,8.083333333
2018040515,14.03333333,7.783333333
2018040516,12.1,8.683333333
2018040517,11.43333333,10.33333333
2018040518,11.5,7.183333333
2018040519,14.1,7.116666667
2018040520,13.05,5.133333333
2018040521,13.21666667,10.18333333
2018040522,12.73333333,11.31666667
2018040523,6.316666667,3.533333333
2018040600,11.96666667,7.3
2018040601,4.6,2.2
2018040602,8,1.5
2018040603,12.76666667,4.416666667
2018040604,9.366666667,4.816666667
2018040605,8.1,3.9
2018040606,9.516666667,4.766666667
2018040607,13.03333333,6.85
2018040608,14.11666667,9.433333333
2018040609,28.88333333,25.56666667
2018040610,42.43333333,24.98333333
2018040611,57.95,16.73333333
2018040612,106.8,27.48333333
2018040613,176.0666667,46.48333333
2018040614,203.3166667,46.86666667
2018040615,164.3,29.93333333
2018040616,178.7666667,25.58333333
2018040617,148.0666667,15.75
2018040618,110.3559322,9.474576271
2018040619,120.6833333,9.983333333
2018040620,62.96666667,5.283333333
2018040621,58.86666667,8.216666667
2018040622,71.63333333,22.01666667
2018040623,54.51666667,26.55
2018040700,51.31666667,22.75
2018040701,43.28333333,22.21666667
2018040702,45.16666667,32.73333333
2018040703,23.43333333,16.41666667
2018040704,26.66666667,19.45
2018040705,31.58333333,21.8
2018040706,42.63333333,24.18333333
2018040707,49.36666667,27.08333333
2018040708,53.58333333,29.65
2018040709,53.73333333,27
2018040710,53.31666667,23.26666667
2018040711,47.06666667,18.06666667
2018040712,46.93333333,19.18333333
2018040713,40.48333333,16.01666667
2018040714,39.65,14.03333333
2018040715,37.43333333,11.41666667
2018040716,39.76666667,10.46666667
2018040717,40.16666667,11.25
2018040718,35.23333333,11.65
2018040719,29.11666667,9.9
2018040720,26.5,10.93333333
2018040721,27.08333333,11.73333333
2018040722,27.53333333,11.75
2018040723,24.48333333,13.05
2018040800,28.63333333,14.85
2018040801,30.56666667,15.61666667
2018040802,29.23333333,14.9
2018040803,23.66666667,10.33333333
2018040804,24.51666667,11.33333333
2018040805,22.08333333,10.5
2018040806,22.76666667,10.16666667
2018040807,24.48333333,10.11666667
2018040808,33.61016949,13.94915254
2018040809,33.35,15.91666667
2018040810,28.2,12.18333333
2018040811,27.76666667,15.06666667
2018040812,26.83333333,16.03333333
2018040813,30.28333333,15.28333333
2018040814,27.58333333,13.83333333
2018040815,26.81666667,12.93333333
2018040816,20.86666667,9.383333333
2018040817,19.13333333,8.95
2018040818,16.48333333,9.35
2018040819,13,9.05
2018040820,14.88333333,13.33333333
2018040821,15.15,15.15
2018040822,15.86666667,15.41666667
2018040823,16.33333333,12.58333333
2018040900,20.25,14.16666667
2018040901,18.13333333,16.86666667
2018040902,22.51666667,19.15
2018040903,19.28333333,17.98333333
2018040904,24.28333333,23.7
2018040905,34.85,32.25
2018040906,37.41666667,33.33333333
2018040907,39.9,35.05
2018040908,43.15,39.2
2018040909,37.85,32.65
2018040910,43.1,29.58333333
2018040911,50.98333333,29.26666667
2018040912,56.46666667,32.38333333
2018040913,43.35,25.01666667
2018040914,38.68333333,22.35
2018040915,46,27.48333333
2018040916,35.96666667,23.8
2018040917,36.96610169,24.71186441
2018040918,40,27.9
2018040919,38.98333333,26.01666667
2018040920,40.36666667,27.68333333
2018040921,42.61666667,26.8
2018040922,42.36666667,24.45
2018040923,52.81666667,29.83333333
2018041000,47,26.78333333
2018041001,35.86666667,22.36666667
2018041002,37.73333333,24.25
2018041003,30.6779661,20
2018041004,29.83333333,19.78333333
2018041005,30.08333333,20.98333333
2018041006,30.78333333,21.18333333
2018041007,34.2,24.53333333
2018041008,37.58333333,26.85
2018041009,37.36666667,23.63333333
2018041010,49.56666667,29.56666667
2018041011,66.2,36.73333333
2018041012,53.48333333,25.71666667
2018041013,52.33333333,21.58333333
2018041014,44.08333333,15.4
2018041015,45.43333333,10.25
2018041016,41.81666667,8.883333333
2018041017,30.85,8.2
2018041018,32.08333333,8.05
2018041019,36.91666667,7.616666667
2018041020,25.1,6.783333333
2018041021,29.73333333,12.2
2018041022,35.41666667,16.25
2018041023,42.86666667,19.36666667
2018041100,43.51666667,20.46666667
2018041101,46.5,22.66666667
2018041102,49.5,21.55
2018041103,53.44067797,20.47457627
2018041104,68.31666667,27.15
2018041105,90.51666667,35.71666667
2018041106,148.3333333,58.86666667
2018041107,98.98333333,37.9
2018041108,76.21666667,26.8
2018041109,68.26666667,24.56666667
2018041110,59.53333333,23.81666667
2018041111,61.88333333,25.46666667
2018041112,64.01666667,26.4
2018041113,55.61666667,23.68333333
2018041114,51.95,23.06666667
2018041115,43.08333333,18.05
2018041116,34.8,13.16666667
2018041117,33.33333333,11
2018041118,30.83333333,7.8
2018041119,35.88333333,9.066666667
2018041120,36.65,10.96666667
2018041121,40.8,13.76666667
2018041122,40.9,13.86666667
2018041123,41.31666667,14.9
2018041200,39.16666667,15.18333333
2018041201,35.03333333,13.35
2018041202,34.13333333,12.91666667
2018041203,36.75,12.26666667
2018041204,37.1,12.08333333
2018041205,39.16666667,13.3
2018041206,40.75,14.85
2018041207,40.6,14.98333333
2018041208,43.86666667,16.5
2018041209,52.66666667,18.76666667
2018041210,61.45,22.5
2018041211,53.55,19.16666667
2018041212,47.33333333,14.66666667
2018041213,39.05,10.26666667
2018041214,36.01666667,14
2018041215,42.08333333,20.08333333
2018041216,27.65,7.4
2018041217,33.71666667,10.95
2018041218,26.06666667,8.583333333
2018041219,23.06666667,6.666666667
2018041220,24.35,7.633333333
2018041221,21.85,7.833333333
2018041222,26.14285714,10.57142857
2018041223,28.56666667,12.6
2018041300,25.78333333,12
