Date,PM10,PM25
2018040100,35.9,18.45
2018040101,37.88333333,19.26666667
2018040102,38.7,19.15
2018040103,40.11666667,20.05
2018040104,44.51666667,22.96666667
2018040105,57.33333333,30.93333333
2018040106,53.38333333,29.05
2018040107,55.46666667,29.43333333
2018040108,46.65,24.08333333
2018040109,60.98333333,30.18333333
2018040110,66.66666667,29.88333333
2018040111,61.45,23.83333333
2018040112,53.46666667,22.21666667
2018040113,52.96666667,25.4
2018040114,56.1,31.11666667
2018040115,73.96666667,42.61666667
2018040116,74.56666667,44.01666667
2018040117,75.61666667,45.96666667
2018040118,83.96666667,52.18333333
2018040119,72.71666667,44.43333333
2018040120,77.05,43.03333333
2018040121,79.73333333,42.28333333
2018040122,71.86666667,37.33333333
2018040123,75.93333333,38.5
2018040200,68.16666667,33
2018040201,98.85,46.35
2018040202,103.1333333,47.43333333
2018040203,66.16666667,28.35
2018040204,63.65,27.55
2018040205,87.88333333,40.25
2018040206,73.18333333,34.71666667
2018040207,61.51666667,31.15
2018040208,57.71666667,28.73333333
2018040209,58.26666667,27.35
2018040210,54.8,24.9
2018040211,59.73333333,27.8
2018040212,69.35,33.66666667
2018040213,67.56666667,30.38333333
2018040214,65.3,28.23333333
2018040215,64.61666667,27.06666667
2018040216,62.21666667,24.2
2018040217,64.73333333,19.46666667
2018040218,64.68333333,21.8
2018040219,66.93333333,26.98333333
2018040220,55.51666667,19.31666667
2018040221,53.3,17.05
2018040222,47.71666667,14.18333333
2018040223,36,12.61666667
2018040300,38.28333333,14.15
2018040301,38.13333333,13.13333333
2018040302,42.13333333,13.78333333
2018040303,42.86666667,14.86666667
2018040304,40.73333333,14.3
2018040305,41.33333333,14.16666667
2018040306,41.76666667,14.21666667
2018040307,41.26666667,12.93333333
2018040308,42.5,13.08333333
2018040309,56.88333333,26.33333333
2018040310,85.08333333,41.81666667
2018040311,55.13333333,15.25
2018040312,76.53333333,21.73333333
2018040313,80.13333333,22.8
2018040314,77.21666667,19.18333333
2018040315,74.13333333,19.61666667
2018040316,78.3,21.68333333
2018040317,82.5,22.3
2018040318,75.7,20.63333333
2018040319,62.7,16.28333333
2018040320,58.68333333,15.38333333
2018040321,61.4,16.16666667
2018040322,84.25,27.98333333
2018040323,119.4333333,46.55
2018040400,69.06666667,30.96666667
2018040401,68,34.33333333
2018040402,60.35,33.98333333
2018040403,41.71666667,23.73333333
2018040404,26.43333333,17.15
2018040405,10.33333333,8.066666667
